hero_id,source_hero_id,hero_name,role,shrunk_win_rate,pick_rate,kills_per_10,deaths_per_10,assists_per_10,sample_matches,confidence_label,confidence_interval_95,display_rank
mantis,mantis,Mantis,Strategist,0.562,0.23,11.0,6.9,26.5,49642,very-high,0.004,1
peni-parker,peni-parker,Peni Parker,Vanguard,0.555,0.21,15.9,6.8,15.4,45165,very-high,0.005,2
magik,magik,Magik,Duelist,0.550,0.21,17.1,8.0,0.6,45179,very-high,0.005,3
storm,storm,Storm,Duelist,0.539,0.10,20.2,7.7,19.6,21536,very-high,0.007,4
the-hood,the-hood,The Hood,Vanguard,0.534,0.28,19.6,5.2,2.2,60879,very-high,0.004,5
rocket-raccoon,rocket-raccoon,Rocket Raccoon,Strategist,0.534,0.26,8.0,5.9,20.9,55533,very-high,0.004,6
ultron,ultron,Ultron,Strategist,0.532,0.15,13.4,6.8,24.2,33484,very-high,0.005,7
blade,blade,Blade,Duelist,0.528,0.13,18.2,9.4,4.5,28392,very-high,0.006,8
hela,hela,Hela,Duelist,0.525,0.21,20.9,6.9,1.3,44418,very-high,0.005,9
iron-fist,iron-fist,Iron Fist,Duelist,0.523,0.13,15.4,8.6,1.5,28951,very-high,0.006,10
mister-fantastic,mister-fantastic,Mister Fantastic,Duelist,0.512,0.09,17.1,7.5,1.2,19921,very-high,0.007,11
spider-man,spider-man,Spider-Man,Duelist,0.512,0.36,14.1,7.6,2.7,78922,very-high,0.003,12
black-panther,black-panther,Black Panther,Duelist,0.511,0.15,15.1,9.0,1.4,33060,very-high,0.005,13
jubilee,jubilee,Jubilee,Strategist,0.511,0.68,17.2,6.1,19.6,148349,very-high,0.003,14
the-thing,the-thing,The Thing,Vanguard,0.511,0.23,17.0,8.1,6.1,48885,very-high,0.004,15
venom,venom,Venom,Vanguard,0.506,0.27,15.4,7.6,4.2,58248,very-high,0.004,16
magneto,magneto,Magneto,Vanguard,0.504,0.36,17.0,6.0,2.7,78688,very-high,0.003,17
daredevil,daredevil,Daredevil,Duelist,0.504,0.11,15.9,9.5,5.8,23816,very-high,0.006,18
white-fox,white-fox,White Fox,Strategist,0.504,0.50,16.7,6.6,17.6,107877,very-high,0.003,19
iron-man,iron-man,Iron Man,Duelist,0.503,0.15,19.5,8.5,0.2,31736,very-high,0.006,20
winter-soldier,winter-soldier,Winter Soldier,Duelist,0.501,0.24,19.6,7.3,5.6,52103,very-high,0.004,21
thor,thor,Thor,Vanguard,0.501,0.18,16.6,8.2,3.2,38042,very-high,0.005,22
hulk,bruce-banner,Bruce Banner,Vanguard,0.500,0.16,13.8,6.5,3.6,35477,very-high,0.005,23
scarlet-witch,scarlet-witch,Scarlet Witch,Duelist,0.500,0.22,20.6,7.4,3.0,47590,very-high,0.004,24
black-cat,black-cat,Black Cat,Duelist,0.500,0.14,14.9,7.9,2.2,31319,very-high,0.006,25
devil-dinosaur,devil-dinosaur,Devil Dinosaur,Vanguard,0.499,0.29,17.8,8.1,12.7,63827,very-high,0.004,26
